whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,headerZoom1.started,zoomSetupText1.started,joinAudio.started,instructContinue10.started,key_resp_26.started,key_resp_26.keys,key_resp_26.rt,zoomSetupText2.started,meetingControls.started,instructContinue11.started,key_resp_27.started,key_resp_27.keys,key_resp_27.rt,zoomSetupText3.started,microphoneImage.started,instructContinue12.started,key_resp_28.started,key_resp_28.keys,key_resp_28.rt,zoomSetupText4.started,recordToComp.started,instructContinue13.started,greenConfirmBar.started,key_resp_29.started,key_resp_29.keys,key_resp_29.rt,zoomSetupText5.started,hideControls.started,instructContinue14.started,key_resp_30.started,key_resp_30.keys,key_resp_30.rt,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigFace.started,cover_background_2.started,prac_centerImg.started,prac_stim_keyResp.started,prac_centerImg.stopped,cover_background_2.stopped,bigFace.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,accuracy,prac_blockFeed_text.started,prac_pressContinue.started,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,id,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LF-238-154-N.jpg,"[0.035, 0.035]",0,0,0,0,0,15,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.625250501002004,119.45231250021607,119.45231250021607,119.45231250021607,119.45231250021607,119.65286950021982,119.80248230043799,123.25441789999604,123.25441789999604,['s'],[0.3999592997133732],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WM-244-003-N.jpg,"[0.035, 0.035]",0,0,0,0,0,16,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5891783567134268,123.25441789999604,123.25441789999604,123.25441789999604,123.25441789999604,123.46894850023091,123.61864459980279,127.02481490001082,127.02481490001082,['s'],[0.5364004001021385],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-230-150-N.jpg,"[0.035, 0.035]",0,0,0,0,0,17,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6152304609218437,127.02481490001082,127.02481490001082,127.02481490001082,127.02481490001082,127.23517519980669,127.38489530049264,130.84499370027333,130.84499370027333,['k'],[0.46205340046435595],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MF-330-001-N.jpg,"[0.035, 0.035]",0,0,0,0,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5821643286573144,130.84499370027333,130.84499370027333,130.84499370027333,130.84499370027333,131.05149890016764,131.20150060020387,134.6212780997157,134.6212780997157,['s'],[0.4708126001060009],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-248-128-N.jpg,"[0.035, 0.035]",0,0,0,0,0,19,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9669338677354706,134.6212780997157,134.6212780997157,134.6212780997157,134.6212780997157,134.8346258001402,134.9843169003725,138.59931490011513,138.59931490011513,['k'],[0.41989480052143335],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.59931490011513,138.59931490011513,138.59931490011513,k,6.467064700089395,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-223-138-N.jpg,"[0.035, 0.035]",1,0,1,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.10220380034298,145.10220380034298,145.10220380034298,k,1.006722499616444,146.13923230022192,3.517034068136273,148.36127409990877,148.36127409990877,148.36127409990877,148.36127409990877,148.56657200027257,148.71621720027179,152.06028770003468,152.06028770003468,['s'],[0.5124334003776312],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WM-244-003-N.jpg,"[0.035, 0.035]",1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.906813627254509,152.06028770003468,152.06028770003468,152.06028770003468,152.06028770003468,152.26615030039102,152.41569789964706,156.1446420000866,156.1446420000866,['s'],[0.4962791996076703],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LM-235-231-N.jpg,"[0.035, 0.035]",1,0,1,0,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.973947895791583,156.1446420000866,156.1446420000866,156.1446420000866,156.1446420000866,156.34911150019616,156.49881920032203,160.29094239976257,160.29094239976257,['s'],[0.4486800003796816],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WM-024-015-N.jpg,"[0.035, 0.035]",1,0,1,0,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.532064128256513,160.29094239976257,160.29094239976257,160.29094239976257,160.29094239976257,160.49865330010653,160.64833530038595,163.99010240007192,163.99010240007192,['s'],[0.40313110034912825],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-206-143-N.jpg,"[0.035, 0.035]",1,0,1,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.567134268537074,163.99010240007192,163.99010240007192,163.99010240007192,163.99010240007192,164.19817120023072,164.3479436999187,167.7413998004049,167.7413998004049,['k'],[0.5666520996019244],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IF-644-306-1-N.jpg,"[0.035, 0.035]",1,0,1,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.979959919839679,167.7413998004049,167.7413998004049,167.7413998004049,167.7413998004049,167.94752580020577,168.097291899845,171.8960932996124,171.8960932996124,['k'],[0.5287119001150131],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MM-308-001-N.jpg,"[0.035, 0.035]",1,0,1,0,0,6,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.859719438877755,171.8960932996124,171.8960932996124,171.8960932996124,171.8960932996124,172.09755859989673,172.2472454002127,175.95540210045874,175.95540210045874,['k'],[0.4362739007920027],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IF-710-016-N.jpg,"[0.035, 0.035]",1,0,1,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5070140280561124,175.95540210045874,175.95540210045874,175.95540210045874,175.95540210045874,176.16388959996402,176.3135639000684,179.6251959996298,179.6251959996298,['s'],[0.5426493994891644],0,,,,,,,2022-11-09_14h08.55.818,mini_mfe_online,2022.2.4,60.0198306471476,
